ShamsiDate,Time,CO2 Klin no.1 (%),CO2 Klin no.2 (%),<10 (%),10-60 (%),>60 (%),ShamsiDateTime,Timestamp
1404/07/23,04:00,5.43,2.36,,,,1404-07-24 04:00:00,2025-10-16 04:00:00
1404/07/23,08:00,6.33,4.14,3.7,96.3,0.0,1404-07-23 08:00:00,2025-10-15 08:00:00
1404/07/23,10:00,,,3.0,90.7,6.3,1404-07-23 10:00:00,2025-10-15 10:00:00
1404/07/23,12:00,0.79,1.47,,,,1404-07-23 12:00:00,2025-10-15 12:00:00
1404/07/23,14:00,,,3.3,91.8,4.9,1404-07-23 14:00:00,2025-10-15 14:00:00
1404/07/23,16:00,2.1,6.28,,,,1404-07-23 16:00:00,2025-10-15 16:00:00
1404/07/23,20:00,2.74,4.3,,,,1404-07-23 20:00:00,2025-10-15 20:00:00
1404/07/24,00:00,3.84,5.32,,,,1404-07-25 00:00:00,2025-10-17 00:00:00
1404/07/24,04:00,5.91,2.53,,,,1404-07-25 04:00:00,2025-10-17 04:00:00
1404/07/24,08:00,6.56,6.17,11.4,88.6,0.0,1404-07-24 08:00:00,2025-10-16 08:00:00
1404/07/24,10:00,,,,,,1404-07-24 10:00:00,2025-10-16 10:00:00
1404/07/24,12:00,3.11,5.54,,,,1404-07-24 12:00:00,2025-10-16 12:00:00
1404/07/24,14:00,,,,,,1404-07-24 14:00:00,2025-10-16 14:00:00
1404/07/24,16:00,5.51,5.65,,,,1404-07-24 16:00:00,2025-10-16 16:00:00
1404/07/24,20:00,4.12,0.96,,,,1404-07-24 20:00:00,2025-10-16 20:00:00
1404/07/25,00:00,3.06,4.94,,,,1404-07-26 00:00:00,2025-10-18 00:00:00
1404/07/25,04:00,2.42,4.86,,,,1404-07-26 04:00:00,2025-10-18 04:00:00
1404/07/25,08:00,6.22,4.4,5.1,94.9,0.0,1404-07-25 08:00:00,2025-10-17 08:00:00
1404/07/25,10:00,,,,,,1404-07-25 10:00:00,2025-10-17 10:00:00
1404/07/25,12:00,3.44,5.17,,,,1404-07-25 12:00:00,2025-10-17 12:00:00
1404/07/25,14:00,,,,,,1404-07-25 14:00:00,2025-10-17 14:00:00
1404/07/25,16:00,7.08,7.38,,,,1404-07-25 16:00:00,2025-10-17 16:00:00
1404/07/25,20:00,3.36,3.38,,,,1404-07-25 20:00:00,2025-10-17 20:00:00
1404/07/26,00:00,3.18,3.46,,,,1404-07-27 00:00:00,2025-10-19 00:00:00
1404/07/26,04:00,8.34,6.4,,,,1404-07-27 04:00:00,2025-10-19 04:00:00
1404/07/26,05:30,3.3,,,,,1404-07-26 05:30:00,2025-10-18 05:30:00
1404/07/26,08:00,7.0,2.89,7.6,92.4,0.0,1404-07-26 08:00:00,2025-10-18 08:00:00
1404/07/26,10:00,,,4.8,95.2,0.0,1404-07-26 10:00:00,2025-10-18 10:00:00
1404/07/26,12:00,8.02,2.35,,,,1404-07-26 12:00:00,2025-10-18 12:00:00
1404/07/26,14:00,12.22,,4.9,95.1,0.0,1404-07-26 14:00:00,2025-10-18 14:00:00
1404/07/26,16:00,9.95,5.81,,,,1404-07-26 16:00:00,2025-10-18 16:00:00
1404/07/26,20:00,8.64,3.56,,,,1404-07-26 20:00:00,2025-10-18 20:00:00
1404/07/27,00:00,4.28,4.52,,,,1404-07-28 00:00:00,2025-10-20 00:00:00
1404/07/27,04:00,2.04,2.17,,,,1404-07-28 04:00:00,2025-10-20 04:00:00
1404/07/27,08:00,3.22,2.22,5.7,94.3,0.0,1404-07-27 08:00:00,2025-10-19 08:00:00
1404/07/27,10:00,,,17.1,82.9,0.0,1404-07-27 10:00:00,2025-10-19 10:00:00
1404/07/27,12:00,4.1,2.89,,,,1404-07-27 12:00:00,2025-10-19 12:00:00
1404/07/27,14:00,,,11.7,88.3,0.0,1404-07-27 14:00:00,2025-10-19 14:00:00
1404/07/27,16:00,1.4,4.73,,,,1404-07-27 16:00:00,2025-10-19 16:00:00
1404/07/27,20:00,1.49,3.94,,,,1404-07-27 20:00:00,2025-10-19 20:00:00
1404/07/28,00:00,4.52,5.13,,,,1404-07-29 00:00:00,2025-10-21 00:00:00
1404/07/28,04:00,3.98,1.31,,,,1404-07-29 04:00:00,2025-10-21 04:00:00
1404/07/28,08:00,2.6,4.58,5.4,94.6,0.0,1404-07-28 08:00:00,2025-10-20 08:00:00
1404/07/28,10:00,,,3.8,96.2,0.0,1404-07-28 10:00:00,2025-10-20 10:00:00
1404/07/28,12:00,6.36,1.39,,,,1404-07-28 12:00:00,2025-10-20 12:00:00
1404/07/28,14:00,,,4.4,95.6,0.0,1404-07-28 14:00:00,2025-10-20 14:00:00
1404/07/28,16:00,5.66,4.37,,,,1404-07-28 16:00:00,2025-10-20 16:00:00
1404/07/28,20:00,2.51,3.94,,,,1404-07-28 20:00:00,2025-10-20 20:00:00
1404/07/29,00:00,3.72,3.16,,,,1404-07-30 00:00:00,2025-10-22 00:00:00
1404/07/29,04:00,3.17,1.34,,,,1404-07-30 04:00:00,2025-10-22 04:00:00
1404/07/29,08:00,6.37,2.58,4.8,95.2,0.0,1404-07-29 08:00:00,2025-10-21 08:00:00
1404/07/29,10:00,,,4.7,95.3,0.0,1404-07-29 10:00:00,2025-10-21 10:00:00
1404/07/29,12:00,9.78,1.91,,,,1404-07-29 12:00:00,2025-10-21 12:00:00
1404/07/29,12:30,3.08,,,,,1404-07-29 12:30:00,2025-10-21 12:30:00
1404/07/29,14:00,,,4.5,95.5,0.0,1404-07-29 14:00:00,2025-10-21 14:00:00
1404/07/29,16:00,3.57,5.54,,,,1404-07-29 16:00:00,2025-10-21 16:00:00
1404/07/29,20:00,2.04,3.57,,,,1404-07-29 20:00:00,2025-10-21 20:00:00
1404/07/30,00:00,2.16,4.64,,,,1404-08-01 00:00:00,2025-10-23 00:00:00
1404/07/30,04:00,2.5,5.49,,,,1404-08-01 04:00:00,2025-10-23 04:00:00
1404/07/30,08:00,2.81,3.28,5.1,94.9,0.0,1404-07-30 08:00:00,2025-10-22 08:00:00
1404/07/30,10:00,,,4.7,95.3,0.0,1404-07-30 10:00:00,2025-10-22 10:00:00
1404/07/30,12:00,3.03,6.24,,,,1404-07-30 12:00:00,2025-10-22 12:00:00
1404/07/30,14:00,,,2.7,97.3,0.0,1404-07-30 14:00:00,2025-10-22 14:00:00
1404/07/30,16:00,5.25,2.4,,,,1404-07-30 16:00:00,2025-10-22 16:00:00
1404/07/30,20:00,3.05,4.54,,,,1404-07-30 20:00:00,2025-10-22 20:00:00
